Instrument,Price,Quantity,Timestamp,Trade Reference,Instrument Type,Underlying Asset,Client Reference
AUDCAD,0.9452,5437,1499095127,,SELL,,CR_3
USDGBP,0.791,7216,1498944748,TR_2,,,
NZDEUR,0.5803,6546,1499053051,,BUY,UA_10,CR_2
CHFAUD,1.3431,4376,1499025632,,,,
ZARJPY,8.5651,6732,1499134730,TR_3,,,CR_2
AUDCAD,0.8953,2333,1498936512,TR_3,,UA_2,
AUDZAR,9.4553,8505,1499050547,,,UA_10,CR_3
GBPUSD,1.2947,4928,1499041776,,,UA_9,
AUDCAD,0.9363,3538,1499009381,,SELL,UA_3,CR_1
JPYCAD,0.0111,8348,1499184281,TR_3,,,
EURGBP,0.8233,7952,1498986524,TR_5,BUY,,
AUDUSD,0.7377,3939,1499181999,,,,CR_3
NZDCAD,0.949,4103,1499030867,TR_1,,,
CADZAR,9.908,4625,1498904858,TR_3,BUY,,CR_1
NZDUSD,0.7882,147,1499204778,TR_1,,UA_10,
NZDCAD,0.8721,8510,1498962914,TR_5,,,
CHFUSD,1.0154,2843,1499007604,TR_1,SELL,UA_5,CR_1
EURJPY,142.5928,279,1499118809,,,UA_3,
ZARNZD,0.1017,9617,1499050297,TR_5,SELL,UA_2,CR_1
USDNZD,1.2516,5960,1498934460,,BUY,,
JPYCHF,0.0082,1019,1499023502,,,UA_3,CR_1
USDEUR,0.7851,5829,1499039998,TR_2,SELL,UA_10,CR_1
AUDCHF,0.7801,6736,1499196047,,BUY,UA_4,
JPYCHF,0.0094,4562,1499003908,,BUY,UA_2,
NZDCAD,0.9523,1962,1498965548,,,,CR_2
USDZAR,13.7438,2227,1499107402,TR_1,SELL,UA_5,CR_3
USDGBP,0.8293,1933,1499025626,,BUY,UA_2,
JPYEUR,0.0082,4418,1498912004,,,UA_2,
EURNZD,1.5696,8186,1499159989,,BUY,UA_2,
JPYCAD,0.0111,6070,1499080807,,BUY,,CR_2
ZARNZD,0.0919,2995,1498948350,TR_2,,UA_8,CR_1
CADUSD,0.7576,1329,1499044993,TR_1,BUY,UA_4,
CADAUD,0.9946,9338,1499156410,TR_1,,,CR_1
GBPUSD,1.4103,8625,1498944140,TR_5,BUY,UA_7,
GBPCHF,1.2173,9276,1499093255,,,UA_4,CR_2
EURNZD,1.5468,5370,1499188705,,,UA_3,
JPYAUD,0.011,7163,1499070996,,,UA_5,CR_1
CADZAR,9.8931,7475,1499165807,,,,
CADAUD,0.939,6,1498991470,TR_1,,UA_2,CR_3
EURNZD,1.4454,6620,1499003767,TR_1,,,
AUDJPY,97.4176,9302,1498941486,TR_1,,UA_8,
ZARJPY,8.9966,2658,1499011843,TR_4,,UA_10,CR_1
CADUSD,0.8143,5892,1499069002,,,,CR_2
NZDCAD,0.9147,7316,1499099530,TR_2,SELL,UA_9,CR_1
JPYUSD,0.0085,7326,1499059653,,,,
ZARAUD,0.1006,8408,1499030428,TR_3,,UA_8,CR_2
CADCHF,0.8561,3340,1499010857,TR_4,,UA_1,
CHFZAR,13.1485,5096,1499082460,,,UA_9,
AUDCHF,0.7617,247,1499177479,,SELL,UA_1,CR_1
JPYCHF,0.0087,2225,1498944705,,,UA_7,
JPYUSD,0.0085,9922,1498920324,TR_2,BUY,UA_8,CR_2
NZDCAD,1.0183,7276,1499166499,,BUY,UA_4,CR_3
ZARJPY,9.325,9246,1499017932,TR_1,,UA_7,
JPYUSD,0.0082,963,1499206071,TR_4,,,
JPYZAR,0.1286,5900,1499140379,,,,CR_2
CHFEUR,0.8407,8040,1499000364,,SELL,UA_6,
CADNZD,1.0335,3058,1498924343,TR_2,,,CR_1
NZDAUD,0.9014,7928,1498930610,,BUY,,
AUDCHF,0.8169,4450,1498922082,,,,
USDJPY,106.4204,3857,1499105719,TR_5,,UA_8,
CADUSD,0.8686,1156,1498967278,TR_4,,,
NZDJPY,91.3165,830,1498968037,TR_1,SELL,,CR_2
EURZAR,14.3102,593,1498946840,TR_4,,,
EURNZD,1.5308,4488,1498897830,,SELL,UA_10,CR_2
GBPCHF,1.1546,440,1498968346,,,UA_10,CR_3
GBPUSD,1.1964,8443,1499114050,,,,
NZDEUR,0.6556,6839,1499037980,TR_5,,,
GBPCAD,1.6277,2232,1499125538,,,UA_6,CR_3
GBPNZD,1.6429,6185,1498908662,,BUY,UA_10,
CADAUD,0.9293,8041,1499103264,,,,
NZDEUR,0.6056,9216,1499181152,TR_5,BUY,,
CHFGBP,0.8361,4642,1499200898,TR_2,BUY,,
ZARCHF,0.0727,7677,1499109932,TR_5,SELL,UA_7,
CHFJPY,103.7715,1363,1499044793,TR_4,,,CR_3
NZDGBP,0.6028,7487,1499037487,TR_5,BUY,,
AUDGBP,0.5802,6215,1498984970,,BUY,,
ZARUSD,0.0763,4963,1499009268,,,UA_7,
AUDCAD,0.9789,1589,1498921925,,,UA_7,CR_3
EURGBP,0.9581,6684,1499126571,TR_3,,UA_3,CR_3
AUDJPY,93.5969,9232,1498962132,TR_3,SELL,UA_9,CR_2
CADEUR,0.6551,2610,1499109775,,,,CR_2
GBPCAD,1.6338,592,1498935060,,SELL,UA_7,CR_1
CADNZD,0.9949,2640,1499033771,TR_3,,,CR_3
USDNZD,1.3813,5912,1499138027,,SELL,,CR_2
ZARAUD,0.102,4922,1499195237,,BUY,UA_6,CR_2
GBPUSD,1.4288,8099,1499184958,TR_2,,UA_2,CR_3
EURUSD,1.2024,2179,1499195657,TR_5,,,
GBPCAD,1.7131,2948,1499166561,,,UA_5,
GBPAUD,1.7799,1712,1498966405,TR_4,,,CR_1
ZARCHF,0.067,2197,1498910643,,,,
GBPAUD,1.5985,3501,1499174613,,SELL,UA_5,CR_1
CADGBP,0.579,4870,1499095638,TR_4,,UA_6,CR_3
EURZAR,16.1045,6614,1498995067,,SELL,UA_4,
NZDUSD,0.8196,9055,1498996727,TR_4,SELL,UA_2,CR_1
ZARNZD,0.1072,6781,1499125852,,BUY,UA_6,CR_3
AUDUSD,0.8565,5646,1499019735,,BUY,UA_2,CR_1
CHFGBP,0.7238,2555,1499055176,TR_4,SELL,,CR_1
GBPCHF,1.1553,6586,1499062578,,BUY,UA_7,CR_1
USDZAR,12.3375,800,1499191667,TR_3,,UA_3,
JPYNZD,0.0126,3852,1499072099,TR_2,,UA_9,
CHFNZD,1.3855,6440,1499134399,TR_5,,UA_6,CR_1
AUDCHF,0.7231,257,1499093505,TR_1,,UA_10,
CHFAUD,1.3227,8650,1499075765,,BUY,UA_8,CR_2
AUDCAD,0.9762,985,1499125542,TR_3,SELL,UA_8,CR_3
USDCAD,1.3484,6855,1498967107,,BUY,,CR_2
CADEUR,0.7122,5627,1499149428,,SELL,,CR_3
GBPUSD,1.2964,7894,1498908655,TR_1,SELL,UA_8,CR_2
AUDZAR,10.9335,4366,1499084052,TR_5,,UA_2,CR_3
NZDJPY,89.0574,6441,1499057101,TR_2,BUY,,CR_3
EURUSD,1.1977,7355,1498972596,,,,CR_1
USDAUD,1.2361,3440,1499194568,,,UA_7,
USDZAR,13.7671,5268,1499112360,,BUY,,
USDCAD,1.3176,9795,1499103068,TR_4,SELL,UA_4,CR_2
GBPNZD,1.6502,2791,1499176097,TR_4,BUY,,CR_2
CADNZD,1.1135,1869,1499066850,TR_2,BUY,,
AUDCHF,0.7862,2649,1498939606,TR_2,,UA_4,
EURCHF,1.0836,8676,1498972472,TR_4,,,CR_2
GBPCAD,1.4822,2101,1499101084,TR_3,,UA_4,CR_1
NZDUSD,0.782,2174,1498910826,TR_4,,,CR_1
AUDUSD,0.7351,5953,1499003476,,SELL,,
EURGBP,0.9236,3267,1498965409,,SELL,UA_3,
EURNZD,1.518,8451,1498964945,TR_2,,,
NZDCAD,0.983,7676,1499048246,TR_4,,,CR_3
CHFJPY,115.0681,1053,1499135877,,BUY,,
AUDGBP,0.5764,2814,1499124088,,SELL,,CR_3
CHFJPY,107.0467,7909,1498936299,TR_2,,UA_3,CR_2
CHFAUD,1.2732,2800,1499123445,TR_3,,UA_3,
GBPEUR,1.1153,6614,1499193390,TR_5,,,
CADUSD,0.8087,3157,1499000250,,SELL,UA_2,
CADJPY,93.3934,720,1499212926,,BUY,,CR_1
USDJPY,112.8488,8508,1498921757,TR_3,,,CR_3
JPYEUR,0.0071,7824,1498980563,,,UA_1,CR_2
EURUSD,1.1551,5600,1499048809,,BUY,UA_6,
AUDCHF,0.7537,3527,1499212499,TR_5,,,
ZARGBP,0.0543,3974,1499078282,,,UA_6,CR_1
CHFCAD,1.2411,1228,1499174616,TR_1,BUY,,CR_3
AUDGBP,0.6538,9102,1499037662,,,UA_6,
AUDGBP,0.6272,1520,1498979828,,SELL,UA_7,CR_3
AUDCHF,0.7152,5850,1498907557,TR_2,,,CR_2
JPYZAR,0.1107,4385,1498976342,TR_1,,UA_4,
AUDCHF,0.7984,603,1499139454,,,UA_5,CR_3
CHFJPY,118.1286,6463,1499192221,,SELL,,
ZARAUD,0.1,3895,1498962686,TR_3,,UA_1,
CADEUR,0.7189,6545,1499195361,,SELL,,CR_3
NZDCAD,0.9341,1741,1499015926,TR_4,,UA_10,CR_2
EURNZD,1.4709,3102,1498902051,TR_2,SELL,,CR_2
ZARNZD,0.0994,778,1499143625,,BUY,UA_10,
CHFGBP,0.7659,2381,1499010999,TR_1,SELL,,CR_2
CHFEUR,0.9319,5889,1499116418,,BUY,UA_10,
CHFUSD,1.1078,2571,1499204232,,,,
CADZAR,11.2573,7574,1499189210,,,UA_2,
EURNZD,1.4685,2101,1498994453,TR_3,,UA_9,CR_2
ZARCAD,0.1041,4784,1498930600,,,UA_5,
CHFJPY,120.5242,8222,1499101949,,BUY,,CR_3
NZDJPY,91.2339,2999,1498960531,,SELL,,
NZDZAR,9.1083,567,1498914703,TR_5,BUY,,CR_2
EURZAR,16.0023,5583,1498970822,,,UA_7,
ZARAUD,0.0939,3896,1498971802,TR_5,BUY,,CR_2
EURCAD,1.4883,9007,1498909159,TR_4,BUY,,
AUDGBP,0.6652,6866,1499152920,,BUY,,
NZDEUR,0.6503,7338,1499208742,,,UA_4,
EURGBP,0.9504,5831,1498923960,TR_1,SELL,UA_1,CR_2
AUDEUR,0.692,3317,1499058119,TR_2,,,
CHFJPY,108.231,6887,1499176488,TR_3,SELL,UA_1,
CHFZAR,14.1575,291,1499122046,TR_4,BUY,,
CHFJPY,112.8376,374,1498924695,TR_5,,,CR_2
GBPJPY,151.4022,6647,1499027834,TR_5,,,
EURJPY,134.4549,7042,1499088579,TR_1,,,CR_2
CADUSD,0.8555,8151,1499102032,TR_1,BUY,,
GBPNZD,1.6906,5106,1499073306,TR_1,,UA_7,
EURGBP,0.8981,1335,1498985810,,,,
CHFJPY,103.4201,5149,1499090456,,,UA_1,CR_2
CADCHF,0.8105,1726,1498931491,,,,
